datetime,elapsed time,lat,lon,result,judge_count,area_count,rotate_count,add_pwr,isHuman
2023-09-01 22:42:16.019825,93.94679045677185,35.924285,139.91244,0.038992736,0,0,1,0,0
2023-09-01 22:42:16.809530,94.73649454116821,35.924287,139.91244,0.07999155,0,0,2,0,0
2023-09-01 22:42:17.611743,95.53870725631714,35.924287,139.91244,0.06657803,0,0,3,0,0
2023-09-01 22:42:18.389669,96.31663298606873,35.924289,139.912439,0.07067966,0,0,4,0,0
2023-09-01 22:42:19.169131,97.09609508514404,35.924289,139.912438,0.043311402,0,0,5,0,0
2023-09-01 22:42:19.947727,97.8746919631958,35.924289,139.912437,0.087997176,0,0,6,5,0
2023-09-01 22:42:20.794791,98.72175574302673,35.924291,139.912437,0.035843294,0,0,7,5,0
2023-09-01 22:42:21.597691,99.52465581893921,35.924291,139.912437,0.007469028,0,0,8,5,0
2023-09-01 22:42:22.376613,100.30357694625854,35.924292,139.912439,0.089389816,0,0,9,5,0
2023-09-01 22:42:23.153095,101.0800576210022,35.924293,139.91244,0.043247685,0,0,10,5,0
2023-09-01 22:42:23.946208,101.87317204475403,35.924293,139.912441,0.08750774,0,0,11,5,0
2023-09-01 22:42:24.723327,102.65028953552246,35.924293,139.912441,0.08162193,0,0,12,5,0
2023-09-01 22:42:25.507371,103.43434119224548,35.924292,139.91244,0.19986707,0,0,13,5,0
2023-09-01 22:42:26.350931,104.27789568901062,35.924292,139.91244,0.02975525,0,0,14,5,0
2023-09-01 22:42:27.129011,105.05597400665283,35.924292,139.912441,0.36985162,0,0,15,5,0
2023-09-01 22:42:27.905616,105.83257913589478,35.924292,139.91244,0.073061556,0,0,16,5,0
2023-09-01 22:42:28.715112,106.64207673072815,35.924292,139.91244,0.12256175,0,0,17,5,0
2023-09-01 22:42:29.491678,107.41864252090454,35.924292,139.91244,0.049297262,0,0,18,5,0
2023-09-01 22:42:30.268613,108.19557642936707,35.924292,139.912437,0.007589087,0,0,19,5,0
2023-09-01 22:42:31.080986,109.00794959068298,35.924292,139.912437,0.014745978,0,0,20,5,0
2023-09-01 22:42:31.856998,109.78396081924438,35.924293,139.912435,0.008121519,0,0,21,5,0
2023-09-01 22:42:32.653460,110.58042454719543,35.924293,139.912435,0.082642734,0,0,22,5,0
2023-09-01 22:42:33.428019,111.3549816608429,35.924293,139.912436,0.041778825,0,0,23,5,0
2023-09-01 22:42:34.205228,112.13219237327576,35.924292,139.912435,0.023561923,0,0,24,5,0
2023-09-01 22:42:55.648632,133.57559037208557,35.924425,139.912431,0.024809303,0,1,0,5,0
2023-09-01 22:42:59.212875,137.13983798027039,35.924433,139.91243,0.0067628846,0,1,1,0,0
2023-09-01 22:42:59.990451,137.91741585731506,35.924436,139.912428,0.24006326,0,1,2,0,0
2023-09-01 22:43:00.541021,138.46798634529114,35.924436,139.912428,0.967194,1,1,2,0,0
2023-09-01 22:43:01.326937,139.25389957427979,35.924435,139.912427,0.046427812,0,1,3,0,0
2023-09-01 22:43:02.141196,140.06816029548645,35.924436,139.912427,0.015464111,0,1,4,0,0
2023-09-01 22:43:02.918441,140.84540486335754,35.924436,139.912426,0.036048286,0,1,5,5,0
2023-09-01 22:43:03.694727,141.6216971874237,35.924436,139.912426,0.01373006,0,1,6,5,0
2023-09-01 22:43:04.522946,142.44990873336792,35.924436,139.912426,0.20534427,0,1,7,5,0
2023-09-01 22:43:05.301652,143.22861647605896,35.924436,139.912426,0.12811609,0,1,8,5,0
2023-09-01 22:43:06.085074,144.01203846931458,35.924436,139.912427,0.026350828,0,1,9,5,0
2023-09-01 22:43:06.868300,144.79526329040527,35.924436,139.912428,0.16591825,0,1,10,5,0
2023-09-01 22:43:07.645579,145.57254314422607,35.924436,139.912428,0.026150858,0,1,11,5,0
2023-09-01 22:43:08.423141,146.35010409355164,35.924435,139.912428,0.01864026,0,1,12,5,0
