datetime,elapsed time,lat,lon,result,judge_count,area_count,rotate_count,add_pwr,isHuman
2023-09-02 21:49:49.531772,331.0614478588104,35.924324,139.912414,0.01746894,0,0,1,0,0
2023-09-02 21:49:50.330906,331.86058139801025,35.924325,139.912415,0.01971263,0,0,2,0,0
2023-09-02 21:49:51.124581,332.6542570590973,35.924325,139.912415,0.030365638,0,0,3,0,0
2023-09-02 21:49:51.892117,333.4217927455902,35.924326,139.912415,0.032508586,0,0,4,0,0
2023-09-02 21:49:52.659546,334.18922114372253,35.924326,139.912415,0.013041692,0,0,5,0,0
2023-09-02 21:49:53.453504,334.9831793308258,35.924327,139.912414,0.04402021,0,0,6,5,0
2023-09-02 21:49:54.218624,335.7482991218567,35.924327,139.912414,0.011363161,0,0,7,5,0
2023-09-02 21:49:54.983754,336.5134286880493,35.924329,139.912414,0.0150409555,0,0,8,5,0
2023-09-02 21:49:55.750218,337.27989315986633,35.924329,139.912416,0.28488705,0,0,9,5,0
2023-09-02 21:49:56.521037,338.0507118701935,35.924333,139.912418,0.028800195,0,0,10,5,0
2023-09-02 21:49:57.323385,338.85306215286255,35.924334,139.912418,0.012108084,0,0,11,5,0
2023-09-02 21:49:58.090332,339.6200132369995,35.924334,139.912418,0.043264084,0,0,12,5,0
2023-09-02 21:49:58.907719,340.4373950958252,35.924335,139.912419,0.09709803,0,0,13,5,0
2023-09-02 21:49:59.700460,341.23013520240784,35.924334,139.912422,0.3172511,0,0,14,5,0
2023-09-02 21:50:00.473514,342.0031898021698,35.924332,139.912425,0.09711755,0,0,15,5,0
2023-09-02 21:50:01.251350,342.78102588653564,35.924332,139.912425,0.08031485,0,0,16,5,0
2023-09-02 21:50:02.024224,343.55390071868896,35.924331,139.912425,0.028071338,0,0,17,5,0
2023-09-02 21:50:02.826208,344.3558838367462,35.92433,139.912423,0.038535792,0,0,18,5,0
2023-09-02 21:50:03.621217,345.150892496109,35.924329,139.912422,0.094390854,0,0,19,5,0
2023-09-02 21:50:04.392060,345.92173528671265,35.924328,139.912418,0.017144283,0,0,20,5,0
2023-09-02 21:50:05.162322,346.692040681839,35.924328,139.912418,0.03330804,0,0,21,5,0
2023-09-02 21:50:05.944625,347.4742999076843,35.924326,139.912414,0.04839997,0,0,22,5,0
2023-09-02 21:50:06.717584,348.24726009368896,35.924326,139.912411,0.023638964,0,0,23,5,0
2023-09-02 21:50:07.523445,349.0531208515167,35.924326,139.912412,0.054372024,0,0,24,5,0
2023-09-02 21:50:26.773342,368.3030183315277,35.924409,139.912432,0.008219705,0,1,0,5,0
2023-09-02 21:50:30.366944,371.89661979675293,35.924414,139.912432,0.12071807,0,1,1,5,0
2023-09-02 21:50:31.140713,372.67038798332214,35.924422,139.91242,0.01028564,0,1,2,5,0
2023-09-02 21:50:31.908509,373.43818378448486,35.924421,139.912419,0.026945567,0,1,3,5,0
