datetime,elapsed time,lat,lon,result,judge_count,area_count,rotate_count,add_pwr,isHuman
2023-09-01 22:53:27.601023,166.5787398815155,35.924291,139.912442,0.24250884,0,0,1,0,0
2023-09-01 22:53:28.425053,167.402770280838,35.92429,139.912441,0.10974241,0,0,2,5,0
2023-09-01 22:53:29.211665,168.189382314682,35.924289,139.91244,0.060522042,0,0,3,5,0
2023-09-01 22:53:29.997899,168.97561836242676,35.92429,139.912441,0.33093002,0,0,4,5,0
2023-09-01 22:53:30.783879,169.76159572601318,35.92429,139.912441,0.02644779,0,0,5,5,0
2023-09-01 22:53:31.598138,170.57585644721985,35.92429,139.912441,0.06960341,0,0,6,5,0
2023-09-01 22:53:32.465066,171.44278478622437,35.924291,139.912442,0.004669507,0,0,7,5,0
2023-09-01 22:53:33.251419,172.2291374206543,35.924292,139.912444,0.041751124,0,0,8,5,0
2023-09-01 22:53:33.785004,172.76272201538086,35.924292,139.912446,0.99790716,1,0,8,5,0
2023-09-01 22:53:34.319682,173.29740071296692,35.924292,139.912446,0.9979709,2,0,8,5,0
2023-09-01 22:53:34.854079,173.83179783821106,35.924293,139.912446,0.99849296,3,0,8,5,0
2023-09-01 22:53:35.386823,174.3645417690277,35.924293,139.912446,0.99854916,3,0,8,5,1
