datetime,elapsed time,N,W
2023-09-01 22:58:12.465047,24.228121995925903,35.924107,139.912414
2023-09-01 22:59:23.158247,94.92131996154785,35.924138,139.912284
2023-09-01 22:59:51.297573,123.06064820289612,35.924307,139.912423
2023-09-01 23:00:40.352085,172.1151602268219,35.924126,139.912435
2023-09-01 23:00:41.356941,173.12001633644104,35.924123,139.912434
2023-09-01 23:00:46.126346,177.88941621780396,35.924117,139.912434
2023-09-01 23:00:49.860324,181.62339401245117,35.924117,139.912433
2023-09-01 23:00:51.901191,183.66426134109497,35.92411,139.912427
2023-09-01 23:00:53.892373,185.655442237854,35.924111,139.912427
2023-09-01 23:00:55.883596,187.64666604995728,35.924112,139.912426
2023-09-01 23:00:57.916029,189.6790988445282,35.924112,139.912425
2023-09-01 23:00:59.907776,191.67084550857544,35.924112,139.912425
2023-09-01 23:01:01.900083,193.6631531715393,35.924112,139.912425
2023-09-01 23:01:03.930709,195.69377946853638,35.924114,139.912426
2023-09-01 23:01:05.921801,197.68487071990967,35.924114,139.912425
2023-09-01 23:01:07.913433,199.67650175094604,35.924114,139.912425
2023-09-01 23:01:10.938168,202.70123839378357,35.924113,139.912425
2023-09-01 23:01:12.928594,204.69166374206543,35.924113,139.912425
2023-09-01 23:01:14.975486,206.73855566978455,35.924112,139.912424
2023-09-01 23:01:16.968795,208.73186612129211,35.924111,139.912425
2023-09-01 23:01:18.963247,210.72631692886353,35.92411,139.912425
2023-09-01 23:01:21.005657,212.76872611045837,35.924111,139.912425
2023-09-01 23:01:23.000502,214.76357126235962,35.924111,139.912425
2023-09-01 23:01:24.989605,216.75267434120178,35.92411,139.912422
2023-09-01 23:01:27.029357,218.79242587089539,35.92411,139.912422
2023-09-01 23:01:29.019453,220.78252172470093,35.924109,139.912419
2023-09-01 23:01:31.011174,222.77424335479736,35.924112,139.912419
2023-09-01 23:01:33.043666,224.80673694610596,35.924113,139.912419
2023-09-01 23:01:35.039758,226.8028268814087,35.924112,139.912419
2023-09-01 23:01:38.775825,230.53889775276184,35.924112,139.912418
2023-09-01 23:01:40.181137,231.94420790672302,35.924114,139.912423
