datetime(PDT),elapsed time,N,W,target_azimuth,control
2023-09-06 17:30:48.281224,177.38861298561096,35.924269,139.912481,335.07175803245326,0
2023-09-06 17:31:14.414690,203.52207589149475,35.924281,139.91247,356.7764090643271,-9.296047342880627
2023-09-06 17:31:19.883657,208.99104142189026,35.924343,139.912467,356.1172658709968,-7.625722424690366
2023-09-06 17:31:24.264050,213.3714370727539,35.924395,139.912455,5.2324606373943015,1.2582656823626621
2023-09-06 17:32:11.195946,260.30333042144775,35.924252,139.912259,33.64328795038809,-53.81190766979879
2023-09-06 17:32:16.665025,265.7724099159241,35.924258,139.912257,37.97720561752706,81.06805318453064
2023-09-06 17:32:22.138402,271.24578762054443,35.924246,139.912271,23.714971330163678,-127.0170334549436
2023-09-06 17:32:27.608489,276.7158737182617,35.924245,139.912279,18.10164044750402,-45.333308375418
2023-09-06 17:32:49.004324,298.1117091178894,35.924315,139.912313,138.68652073950983,61.41087642493221
2023-09-06 17:32:54.471784,303.57917189598083,35.924313,139.912314,138.45859427688,-49.996433400297434
2023-09-06 17:32:59.941322,309.0487132072449,35.924299,139.912372,149.24782064251752,129.0012005669293
2023-09-06 17:33:05.411622,314.5190079212189,35.924247,139.9124,144.39775997975556,129.79648769392162
2023-09-06 17:33:48.431580,357.53896498680115,35.924252,139.912419,267.85155878551376,99.74021682514166
2023-09-06 17:33:53.898409,363.00579476356506,35.924295,139.912301,254.51535133233804,148.61396139781064
2023-09-06 17:33:59.369612,368.4769971370697,35.924266,139.912232,259.803481721142,-44.29779247310512
2023-09-06 17:34:04.841896,373.9492814540863,35.924235,139.912162,274.2804485055388,-54.696909289890414
