datetime,elapsed time,N,W
2023-09-02 21:44:55.690793,37.22047448158264,35.924231,139.912067
2023-09-02 21:48:16.732915,238.26259589195251,35.924328,139.912433
2023-09-02 21:50:26.771573,368.3012549877167,35.924409,139.912432
2023-09-02 21:51:11.925959,413.45563864707947,35.924302,139.91234
2023-09-02 21:51:56.060424,457.59010577201843,35.9242,139.912447
2023-09-02 21:52:42.350828,503.88050842285156,35.924294,139.912576
2023-09-02 21:53:26.359379,547.8890604972839,35.924419,139.912599
2023-09-02 21:54:32.588259,614.1179394721985,35.924414,139.912319
2023-09-02 21:55:21.257660,662.7873401641846,35.924201,139.912334
2023-09-02 21:56:14.034102,715.5637834072113,35.924184,139.912592
2023-09-02 21:56:36.431081,737.9607560634613,35.924185,139.912609
