datetime,elapsed time,N,W
2023-09-01 22:51:05.250966,24.22868537902832,35.92411,139.912389
2023-09-01 22:52:51.768925,130.74664187431335,35.924085,139.912547
2023-09-01 22:53:18.952041,157.92976427078247,35.924288,139.912446
2023-09-01 22:54:11.380094,210.3578176498413,35.924117,139.912445
2023-09-01 22:54:12.386289,211.36401200294495,35.924114,139.912444
2023-09-01 22:54:17.187009,216.16472744941711,35.924108,139.912453
2023-09-01 22:54:19.173818,218.15153646469116,35.924108,139.912453
2023-09-01 22:54:21.162039,220.13975739479065,35.924108,139.912453
2023-09-01 22:54:23.204802,222.1825201511383,35.924109,139.912453
2023-09-01 22:54:25.195448,224.1731662750244,35.924109,139.912453
2023-09-01 22:54:26.185862,225.16358184814453,35.924108,139.912454
2023-09-01 22:54:28.218052,227.19577479362488,35.924107,139.912454
2023-09-01 22:54:30.245302,229.22301983833313,35.924106,139.912452
2023-09-01 22:54:32.249369,231.22708821296692,35.924106,139.912451
2023-09-01 22:54:34.237072,233.2147901058197,35.924105,139.91245
2023-09-01 22:54:36.287616,235.26533389091492,35.924105,139.912449
2023-09-01 22:54:38.277868,237.25558495521545,35.924104,139.912448
2023-09-01 22:54:40.264519,239.2422375679016,35.924103,139.912448
2023-09-01 22:54:42.338372,241.31609463691711,35.924102,139.912446
2023-09-01 22:54:43.354862,242.33257937431335,35.924102,139.912446
2023-09-01 22:54:45.341562,244.31928062438965,35.924103,139.912445
2023-09-01 22:54:47.329912,246.30763006210327,35.924101,139.91244
2023-09-01 22:54:49.357399,248.3351171016693,35.924101,139.912439
2023-09-01 22:54:51.345709,250.3234269618988,35.9241,139.912438
2023-09-01 22:54:53.337532,252.31525087356567,35.924101,139.912438
2023-09-01 22:54:55.357399,254.3351173400879,35.924102,139.91244
2023-09-01 22:54:57.346773,256.32449197769165,35.924103,139.912441
2023-09-01 22:55:00.337445,259.3151671886444,35.924103,139.912444
2023-09-01 22:55:02.365369,261.343088388443,35.924104,139.912445
2023-09-01 22:55:04.358265,263.3359832763672,35.924105,139.912444
2023-09-01 22:55:06.348728,265.32644748687744,35.924104,139.912444
2023-09-01 22:55:08.372313,267.35003113746643,35.924103,139.912441
2023-09-01 22:55:10.365437,269.3431553840637,35.924103,139.912441
2023-09-01 22:55:12.352686,271.33040380477905,35.924103,139.91244
2023-09-01 22:55:14.377034,273.3547508716583,35.924102,139.912436
2023-09-01 22:55:16.365260,275.34297800064087,35.924106,139.912437
2023-09-01 22:55:18.358279,277.3359968662262,35.924109,139.912437
2023-09-01 22:55:20.380687,279.3584041595459,35.92411,139.912438
2023-09-01 22:55:22.370115,281.34783267974854,35.92411,139.91244
2023-09-01 22:55:24.358259,283.33597803115845,35.924112,139.912441
2023-09-01 22:55:26.381447,285.35916471481323,35.924113,139.912441
2023-09-01 22:55:28.378922,287.3566393852234,35.924112,139.912439
2023-09-01 22:55:30.366634,289.3443522453308,35.924112,139.912437
2023-09-01 22:55:32.395518,291.3732359409332,35.924111,139.912436
2023-09-01 22:55:33.385137,292.36285614967346,35.92411,139.912437
2023-09-01 22:55:35.373903,294.35162115097046,35.924109,139.912436
2023-09-01 22:55:37.396506,296.37422251701355,35.924108,139.912435
2023-09-01 22:55:39.384788,298.3625054359436,35.924108,139.91244
2023-09-01 22:55:41.376449,300.3541691303253,35.924104,139.912468
2023-09-01 22:55:59.854058,318.8317813873291,35.924093,139.912402
2023-09-01 22:56:01.874355,320.85207295417786,35.924094,139.912402
2023-09-01 22:56:03.865086,322.842805147171,35.924094,139.912402
2023-09-01 22:56:05.858986,324.83670449256897,35.924093,139.912404
2023-09-01 22:56:07.887154,326.86487221717834,35.924094,139.912404
2023-09-01 22:56:09.882477,328.8601942062378,35.924093,139.912407
2023-09-01 22:56:11.872674,330.8503968715668,35.924092,139.912407
2023-09-01 22:56:13.922266,332.8999831676483,35.924096,139.912408
2023-09-01 22:56:15.913130,334.8908483982086,35.924096,139.912408
2023-09-01 22:56:17.902938,336.88065481185913,35.924096,139.912406
2023-09-01 22:56:19.943751,338.92146849632263,35.924095,139.912405
2023-09-01 22:56:22.935317,341.91303515434265,35.924087,139.912383
2023-09-01 22:56:24.965145,343.94286274909973,35.924093,139.912356
2023-09-01 22:56:39.140195,358.1179184913635,35.924108,139.91241
2023-09-01 22:56:41.188745,360.1664640903473,35.924107,139.912414
2023-09-01 22:56:43.179063,362.1567816734314,35.924107,139.912414
2023-09-01 22:56:45.168779,364.14649724960327,35.924107,139.912413
2023-09-01 22:56:47.220966,366.1986849308014,35.92411,139.91241
2023-09-01 22:56:48.207845,367.1855628490448,35.924111,139.91241
2023-09-01 22:56:50.196105,369.1738233566284,35.924111,139.912411
2023-09-01 22:56:52.215451,371.1931691169739,35.92411,139.912412
2023-09-01 22:56:54.207373,373.18509125709534,35.924109,139.912412
2023-09-01 22:56:56.196532,375.1742513179779,35.924109,139.912413
2023-09-01 22:56:58.234618,377.2123353481293,35.924107,139.912415
2023-09-01 22:57:00.228044,379.2057626247406,35.924105,139.912416
2023-09-01 22:57:02.220651,381.1983697414398,35.924104,139.912415
2023-09-01 22:57:05.253276,384.23099517822266,35.924102,139.912415
2023-09-01 22:57:08.990058,387.9677805900574,35.924101,139.912414
2023-09-01 22:57:10.394203,389.37192153930664,35.924108,139.912407
