datetime(PDT),elapsed time,lat,lon,distance_to_goal,area_ratio,target_azimuth,isReach_goal
2023-09-06 17:40:49.270581,236.48575234413147,Image Guide Sequence: Start
2023-09-06 17:41:01.449703,248.66488599777222,35.92419,139.912043,5.9183549291459245,0,0,0
2023-09-06 17:41:02.559108,249.77428770065308,35.924223,139.912049,2.3168690475305365,0,0,0
2023-09-06 17:41:03.558377,250.7735583782196,35.924223,139.912048,2.3631631659094894,0,0,0
2023-09-06 17:41:04.551681,251.76686000823975,35.924221,139.912047,2.599633354560192,0,0,0
2023-09-06 17:41:07.589968,254.80515599250793,35.924217,139.912047,2.9891106489367623,3,118.39301942138297,0
2023-09-06 17:41:08.624461,255.83964228630066,35.924214,139.912045,3.3675820459838364,0,0,0
2023-09-06 17:41:09.619935,256.83511543273926,35.924204,139.91204,4.562525740781077,0,0,0
2023-09-06 17:41:28.869539,276.0847225189209,35.924199,139.912037,5.179836553931665,0,0,0
2023-09-06 17:41:29.901507,277.1166868209839,35.924246,139.91204,2.041187685837457,0,0,0
2023-09-06 17:41:30.903339,278.11851930618286,35.924246,139.91204,2.041187685837457,0,0,0
2023-09-06 17:41:31.907683,279.12286281585693,35.924251,139.912045,1.8723015260253393,0,0,0
2023-09-06 17:41:32.914357,280.12953758239746,35.924251,139.912047,1.7293776035906305,0,0,0
2023-09-06 17:41:33.923837,281.1390190124512,35.924251,139.912048,1.6606621990112924,0,0,0
2023-09-06 17:41:34.992738,282.2079179286957,35.92425,139.91205,1.4523444515152633,0,0,0
2023-09-06 17:41:38.036192,285.25137281417847,35.924249,139.912052,1.2452339895880173,3,107.48237518212153,0
2023-09-06 17:41:41.085622,288.300808429718,35.92425,139.912051,1.3875260100465572,27,101.84826623841445,0
2023-09-06 17:41:44.159474,291.3746519088745,35.924254,139.912054,1.595089475052965,19,119.33992850134223,0
2023-09-06 17:41:45.211444,292.4266257286072,35.924258,139.912056,1.9468715916701016,0,0,0
2023-09-06 17:41:46.271039,293.4862253665924,35.92426,139.912057,2.1413739055920766,0,0,0
2023-09-06 17:41:49.366803,296.5819811820984,35.924259,139.912057,2.0328344142637844,34,95.3392368037376,0
2023-09-06 17:41:50.389112,297.60429310798645,35.924262,139.912057,2.3591279396038662,0,0,0
2023-09-06 17:41:51.455358,298.6705467700958,35.924265,139.91206,2.65685754921345,0,0,0
2023-09-06 17:41:52.571219,299.7863984107971,35.924266,139.91206,2.767615860788743,0,0,0
