datetime,elapsed time,lat,lon,distance_to_goal,area_ratio,angle,add_pwr,isReach_goal
2023-09-01 19:11:20.303388,130.09816813468933,Image Guide Sequence: Start
2023-09-01 19:11:24.241669,134.03646326065063,35.924101,139.911382,2.2343524260468026,0,0,5,0
2023-09-01 19:11:25.339793,135.13457775115967,35.924098,139.911386,1.9107426625868538,0,0,5,0
2023-09-01 19:11:26.432385,136.2271707057953,35.924099,139.911387,2.033021231474978,0,0,5,0
2023-09-01 19:11:27.432530,137.22731566429138,35.924099,139.911386,2.020966453733095,0,0,5,0
2023-09-01 19:11:28.458748,138.25353932380676,35.924099,139.911385,2.0128898287850934,0,3,5,0
2023-09-01 19:11:29.517976,139.31276106834412,35.924097,139.911385,1.791539245493053,0,0,5,0
2023-09-01 19:11:30.517354,140.3121395111084,35.924096,139.911385,1.6809197869271308,0,0,5,0
2023-09-01 19:11:31.513682,141.30846738815308,35.924096,139.911385,1.6809197869271308,0,0,5,0
2023-09-01 19:11:32.505819,142.30060338974,35.924096,139.911385,1.6809197869271308,0,0,5,0
2023-09-01 19:11:33.503809,143.2985942363739,35.924095,139.911384,1.5651527060028694,0,0,5,0
2023-09-01 19:11:34.559434,144.3542182445526,35.924095,139.911384,1.5651527060028694,0,1,5,0
2023-09-01 19:11:35.546243,145.3410279750824,35.924098,139.911386,1.9107426625868538,0,0,5,0
2023-09-01 19:11:36.529622,146.32440662384033,35.924096,139.911384,1.676067229206237,0,0,5,0
2023-09-01 19:11:37.512583,147.307368516922,35.924096,139.911383,1.6760672292680623,0,0,5,0
2023-09-01 19:11:38.496559,148.29134368896484,35.924097,139.911382,1.7915392456665726,0,0,5,0
2023-09-01 19:11:39.492558,149.2873432636261,35.924096,139.911382,1.6809197871120696,0,0,5,0
2023-09-01 19:11:40.475424,150.27020931243896,35.924097,139.911382,1.7915392456665726,0,0,5,0
2023-09-01 19:11:41.458975,151.25375938415527,35.924097,139.911382,1.7915392456665726,0,0,5,0
2023-09-01 19:11:42.442993,152.23777842521667,35.924096,139.911382,1.6809197871120696,0,0,5,0
2023-09-01 19:11:43.424403,153.2191882133484,35.924096,139.911383,1.6760672292680623,0,0,5,0
2023-09-01 19:11:44.407121,154.2019121646881,35.924097,139.911382,1.7915392456665726,0,0,5,0
2023-09-01 19:11:45.453596,155.24838066101074,35.924098,139.911381,1.9107426628580118,0,0,5,0
2023-09-01 19:11:46.449027,156.243812084198,35.924099,139.911382,2.012889828939532,0.0,2,5,0
2023-09-01 19:11:47.433294,157.2280797958374,35.924099,139.911382,2.012889828939532,0,0,5,0
2023-09-01 19:11:48.417202,158.21198654174805,35.924098,139.911381,1.9107426628580118,0,0,5,0
2023-09-01 19:11:49.406081,159.20086669921875,35.924098,139.911382,1.9021980912861889,0,0,5,0
2023-09-01 19:11:50.405136,160.19992065429688,35.924098,139.911382,1.9021980912861889,0,0,5,0
2023-09-01 19:11:51.390264,161.18504977226257,35.924098,139.911382,1.9021980912861889,0,0,5,0
2023-09-01 19:11:52.375921,162.17070651054382,35.924098,139.911382,1.9021980912861889,0,0,5,0
2023-09-01 19:11:53.359289,163.15407466888428,35.924097,139.911383,1.7869870999311028,0,0,5,0
2023-09-01 19:11:54.346237,164.14102125167847,35.924097,139.911384,1.7869870998731154,0,0,5,0
2023-09-01 19:11:55.328882,165.12367415428162,35.924097,139.911386,1.8006090117986777,0,0,5,0
2023-09-01 19:11:56.368762,166.1635456085205,35.924098,139.911386,1.9107426625868538,0,0,5,0
2023-09-01 19:11:59.102419,168.89720249176025,35.924098,139.911384,1.8979113796690785,3,2,5,0
2023-09-01 19:12:00.099852,169.89463758468628,35.924098,139.911384,1.8979113796690785,0,1,5,0
2023-09-01 19:12:01.086200,170.88098859786987,35.92411,139.911379,3.254306614677125,0,0,5,0
2023-09-01 19:12:03.108953,172.90373706817627,35.92411,139.911377,3.281722295577281,0,0,5,0
2023-09-01 19:12:04.097028,173.89181303977966,35.924111,139.911374,3.4481163740150835,0,0,5,0
2023-09-01 19:12:05.079674,174.87445759773254,35.924112,139.911373,3.5785297804764973,0,0,5,0
2023-09-01 19:12:06.062080,175.85686564445496,35.924112,139.911371,3.630503688701072,0,0,5,0
2023-09-01 19:12:07.048520,176.8433060646057,35.924113,139.911371,3.736127588638241,0,0,5,0
2023-09-01 19:12:08.079648,177.87443351745605,35.924114,139.911372,3.8165262882137134,0,3,5,0
2023-09-01 19:12:09.068229,178.8630130290985,35.924116,139.911373,4.008239486604748,0,0,5,0
2023-09-01 19:12:10.056117,179.85091161727905,35.924116,139.911374,3.9878671101046703,0,0,5,0
2023-09-01 19:12:11.040486,180.83527255058289,35.924117,139.911376,4.062356414655831,0,0,5,0
2023-09-01 19:12:12.025846,181.8206295967102,35.924115,139.911377,3.828859221687364,0,0,5,0
2023-09-01 19:12:13.011963,182.80675435066223,35.924114,139.911377,3.7192504963512545,0,0,5,0
2023-09-01 19:12:14.058814,183.85359859466553,35.924114,139.911376,3.7345487069065144,0,0,5,0
2023-09-01 19:12:15.043406,184.83819150924683,35.924114,139.911375,3.7519559973083414,0,0,5,0
2023-09-01 19:12:16.030593,185.82537698745728,35.924114,139.911374,3.771443163969438,0,0,5,0
2023-09-01 19:12:17.017524,186.8123095035553,35.924115,139.911373,3.900515596067447,0,0,5,0
2023-09-01 19:12:18.002267,187.79705214500427,35.924116,139.911372,4.0305301696930105,0,0,5,0
2023-09-01 19:12:20.019174,189.81395936012268,35.924116,139.911371,4.054709040988786,0,0,5,0
