datetime(PDT),elapsed time,lat,lon,distance_to_goal,area_ratio,target_azimuth,isReach_goal
2023-09-06 17:34:12.149559,381.2569365501404,Image Guide Sequence: Start
2023-09-06 17:34:39.597749,408.7051396369934,35.924183,139.912055,6.475781285056502,0,0,0
2023-09-06 17:34:41.011478,410.11886405944824,35.924224,139.912065,1.9192279410598834,0,0,0
2023-09-06 17:34:42.095450,411.2028353214264,35.924229,139.912071,1.5785844247413954,0,0,0
2023-09-06 17:34:43.171997,412.2793822288513,35.92423,139.912075,1.7135057007002688,0,0,0
2023-09-06 17:34:44.234756,413.3421423435211,35.924227,139.912077,2.080744087930222,0,0,0
2023-09-06 17:34:45.284952,414.3923456668854,35.924226,139.912074,2.00486218831709,0,0,0
2023-09-06 17:34:46.338404,415.44579100608826,35.924225,139.91207,1.9336374323310062,0,0,0
2023-09-06 17:34:47.336550,416.4439363479614,35.924225,139.912068,1.871998652032064,0,0,0
2023-09-06 17:34:48.331180,417.43856620788574,35.924225,139.912068,1.871998652032064,0,0,0
2023-09-06 17:34:51.382366,420.4897553920746,35.924225,139.912067,1.8470317918975812,1,-84.0938588862295,0
2023-09-06 17:34:54.501108,423.6084928512573,35.924223,139.912067,2.0624352311738945,47,-18.551403498967375,0
2023-09-06 17:34:57.550351,426.65774416923523,35.924224,139.912068,1.9781616936100122,64,-20.075429644563542,0
