datetime,elapsed time,lat,lon,distance_to_parachute,red_area,angle,isDistant_parachute,check_count
2023-09-03 02:29:56.106731,30.420939922332764,35.924215,139.912058,0.14302639378706852,24,1,0,1
2023-09-03 02:29:59.061827,33.376035928726196,35.924217,139.912057,0.21187598035597266,2,2,0,2
2023-09-03 02:30:02.043921,36.35813117027283,35.924217,139.912059,0.2395648422244233,88,2,0,3
2023-09-03 02:30:08.029251,42.343461751937866,35.924217,139.912059,0.22191519275796992,0,0,0,3
2023-09-03 02:30:11.035631,45.34984111785889,35.924217,139.912099,3.715187165507869,203,2,0,4
2023-09-03 02:30:13.985903,48.30011248588562,35.92422,139.912102,3.805082647527283,2,2,0,5
2023-09-03 02:30:16.983174,51.29738211631775,35.92422,139.912101,3.8308796643843444,228,2,0,6
2023-09-03 02:30:19.936653,54.25086212158203,35.924221,139.912101,3.8485148165102085,115,1,0,7
2023-09-03 02:30:22.940763,57.25497317314148,35.924222,139.9121,3.759657968354439,32,3,0,8
2023-09-03 02:30:25.895581,60.20979571342468,35.924221,139.9121,3.759657968354439,40,3,0,9
2023-09-03 02:30:28.907067,63.22127676010132,35.924221,139.9121,3.7808832982166742,80,1,0,10
2023-09-03 02:30:34.896167,69.21037817001343,35.92422,139.9121,3.7416040330962566,0,0,0,10
2023-09-03 02:30:48.096080,82.41029262542725,35.924241,139.912118,6.188479709026864,0,0,0,10
2023-09-03 02:30:51.115964,85.4302008152008,35.924261,139.912157,10.289840116816038,0,0,1,10
