datetime,elapsed time,lat,lon,distance_to_parachute,red_area,angle,isDistant_parachute,check_count
2023-09-02 21:45:56.579845,98.10952258110046,35.924231,139.912072,0.28605276260738366,0,0,0,0
2023-09-02 21:45:59.121970,100.65164804458618,35.92423,139.91207,0.0,0,0,0,0
2023-09-02 21:46:01.711533,103.24121022224426,35.92423,139.91207,0.14302638211868893,0,0,0,0
2023-09-02 21:46:04.473337,106.0030152797699,35.924232,139.912071,0.14302638211868893,1643,1,0,1
2023-09-02 21:46:07.266443,108.79613614082336,35.924232,139.912074,0.3448902032067062,26,3,0,2
2023-09-02 21:46:10.029247,111.55892419815063,35.924231,139.912076,0.4646886418906634,1124,1,0,3
2023-09-02 21:46:15.846752,117.3764317035675,35.924232,139.912081,0.8197884802801245,0,0,0,3
2023-09-02 21:46:21.657138,123.18681645393372,35.924237,139.912067,0.6618980442545406,0,0,0,3
2023-09-02 21:46:27.463004,128.9926815032959,35.924264,139.912082,3.793792188183164,0,0,0,3
2023-09-02 21:46:39.661271,141.19095659255981,35.924288,139.912067,6.219521343679556,0,0,0,3
2023-09-02 21:46:42.679172,144.2088541984558,35.924339,139.912041,12.177269793524443,0,0,1,3
