datetime,elapsed time,lat,lon,distance_to_parachute,red_area,angle,isDistant_parachute,check_count
2023-09-03 02:26:04.957877,31.25060510635376,35.924211,139.912057,0.0,46,1,0,1
2023-09-03 02:26:07.891105,34.18383455276489,35.92421,139.912058,0.1430263946385203,194,3,0,2
2023-09-03 02:26:10.886574,37.179304122924805,35.92421,139.912057,0.11095759581511253,32,1,0,3
2023-09-03 02:26:13.823982,40.11671328544617,35.924211,139.912056,0.0902494422718224,9,2,0,4
2023-09-03 02:26:16.834060,43.12678933143616,35.92421,139.912054,0.2118759917045553,224,2,0,5
2023-09-03 02:26:19.786562,46.07929182052612,35.92421,139.912054,0.292602538274343,783,1,0,6
2023-09-03 02:26:22.781962,49.07469081878662,35.924211,139.912055,0.18049888454364482,49,2,0,7
2023-09-03 02:26:25.731790,52.02451825141907,35.924212,139.912055,0.18049888454364482,38,2,0,8
2023-09-03 02:26:28.703992,54.996721029281616,35.924212,139.912055,0.29260253559742005,8666,2,0,9
2023-09-03 02:26:31.659203,57.951931953430176,35.924212,139.912053,0.3500728607257065,10,2,0,10
2023-09-03 02:26:37.789542,64.08227252960205,35.924212,139.912051,0.451247211359112,0,0,0,10
2023-09-03 02:26:43.822326,70.11505389213562,35.924191,139.912112,4.233899347578447,0,0,0,10
2023-09-03 02:26:56.546812,82.83954811096191,35.924198,139.912152,8.605245436259224,0,0,0,10
2023-09-03 02:26:59.564735,85.85746765136719,35.924206,139.912194,12.376674292717226,0,0,1,10
