datetime(PDT),elapsed time,latest_press,delta_press,press_land_count,isLand
2023-09-05 01:47:21.256427,16.167088747024536,1006.1117,0,0,0
2023-09-05 01:47:26.264829,21.175488233566284,1006.1856,0.07389999999998054,1,0
2023-09-05 01:47:31.272510,26.18317222595215,1006.1526,0.03300000000001546,2,0
2023-09-05 01:47:36.283108,31.193767547607422,1006.229,0.0764000000000351,3,0
2023-09-05 01:47:41.293513,36.20417332649231,1006.158,0.07100000000002638,4,1
