datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-05 01:45:17.105715,1.301020860671997,1,Release Detect Sequence: Start,0,0
2023-09-05 01:45:27.123984,11.31925892829895,1,Release Detect Sequence: Start,0,0
2023-09-05 01:45:27.125584,11.320852279663086,2,Land Detect Sequence: Start,0,0
2023-09-05 01:45:52.179684,36.374958992004395,2,Land Detect Sequence: End,0,0
2023-09-05 01:45:52.180638,36.37591052055359,3,Melt Sequence: Start,0,0
2023-09-05 01:45:58.190009,42.38528919219971,3,Melt Sequence: End,0,0
2023-09-05 01:46:08.213911,52.409186124801636,3,GPS Received,35.9242,139.912071
2023-09-05 01:46:09.217343,53.412619829177856,4,Parachute Avoid Sequence: Start,35.924203,139.912069
