datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-05 01:45:58.754566,1.298250675201416,1,Release Detect Sequence: Start,0,0
2023-09-05 01:46:08.771299,11.314964056015015,1,Release Detect Sequence: Start,0,0
2023-09-05 01:46:08.772912,11.316601514816284,2,Land Detect Sequence: Start,0,0
2023-09-05 01:46:33.818832,36.36250138282776,2,Land Detect Sequence: End,0,0
2023-09-05 01:46:33.819620,36.36328172683716,3,Melt Sequence: Start,0,0
2023-09-05 01:46:39.828657,42.372331857681274,3,Melt Sequence: End,0,0
2023-09-05 01:48:16.018843,138.56251454353333,3,GPS Received,35.924147,139.911978
2023-09-05 01:48:17.023357,139.56702733039856,4,Parachute Avoid Sequence: Start,35.924146,139.911978
