datetime,elapsed time,phase,condition,lat,lon
2023-09-01 22:57:49.403421,1.1664927005767822,1,Release Detect Sequence: Start,0,0
2023-09-01 22:57:59.419528,11.182600736618042,1,Release Detect Sequence: Start,0,0
2023-09-01 22:57:59.420792,11.18385910987854,2,Land Detect Sequence: Start,0,0
2023-09-01 22:58:04.452601,16.21567678451538,2,Land Detect Sequence: End,0,0
2023-09-01 22:58:04.454792,16.217868089675903,3,Melt Sequence: Start,0,0
2023-09-01 22:58:10.460261,22.223337173461914,3,Melt Sequence: End,0,0
2023-09-01 22:59:22.153309,93.91638493537903,4,Parachute Avoid Sequence: End,35.924138,139.912283
2023-09-01 22:59:23.157450,94.92052698135376,5,GPS Running Sequence to Human: Start,35.924138,139.912284
2023-09-01 22:59:52.303402,124.06647872924805,5,GPS Running Sequence to Human: End,35.924309,139.912426
2023-09-01 22:59:53.309079,125.07215523719788,6,Human Detection Sequence: Start,35.924308,139.912425
2023-09-01 23:00:04.119309,135.8823823928833,6,Human Detection Sequence: End,35.924317,139.912431
2023-09-01 23:00:14.152156,145.91523122787476,7,GPS Running Sequence to Goal: Start,35.924316,139.912431
2023-09-01 23:00:41.357686,173.12075066566467,7,GPS Running Sequence to Goal: End,35.924123,139.912434
2023-09-01 23:00:42.361734,174.12480926513672,8,Image Guide Sequence,35.924123,139.912434
2023-09-01 23:01:41.184374,232.94744443893433,8,Image Guide Sequence: End,35.924115,139.912423
2023-09-01 23:01:51.210364,242.97343969345093,10,All Phase Comleted,35.924115,139.912423
