datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-06 17:23:22.729318,1.1696758270263672,1,Release Detect Sequence: Start,0,0
2023-09-06 17:23:32.748369,11.188754320144653,1,Release Detect Sequence: Start,0,0
2023-09-06 17:23:32.750533,11.190885782241821,2,Land Detect Sequence: Start,0,0
2023-09-06 17:23:37.785779,16.226157903671265,2,Land Detect Sequence: End,0,0
2023-09-06 17:23:37.786672,16.227023363113403,3,Melt Sequence: Start,0,0
2023-09-06 17:23:43.795904,22.236265420913696,3,Melt Sequence: End,0,0
2023-09-06 17:23:43.799475,22.23983359336853,3,GPS Received,35.924201,139.912042
2023-09-06 17:23:44.803906,23.244264841079712,4,Parachute Avoid Sequence: Start,35.924195,139.912039
2023-09-06 17:24:37.290884,75.73124289512634,4,Parachute Avoid Sequence: End,35.924098,139.912158
2023-09-06 17:24:38.304606,76.74496459960938,5,GPS Running Sequence to Human: Start,35.924099,139.912157
