datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-05 02:05:09.589004,1.1703436374664307,1,Release Detect Sequence: Start,0,0
2023-09-05 02:05:19.606201,11.187534809112549,1,Release Detect Sequence: Start,0,0
2023-09-05 02:05:19.607891,11.189218521118164,2,Land Detect Sequence: Start,0,0
2023-09-05 02:05:44.661542,36.24287414550781,2,Land Detect Sequence: End,0,0
2023-09-05 02:05:44.662807,36.244141578674316,3,Melt Sequence: Start,0,0
2023-09-05 02:05:50.668815,42.25015592575073,3,Melt Sequence: End,0,0
2023-09-05 02:05:50.672486,42.253823041915894,3,GPS Received,35.924194,139.912046
2023-09-05 02:05:51.677107,43.25844430923462,4,Parachute Avoid Sequence: Start,35.924192,139.91204
