datetime,elapsed time,phase,condition,lat,lon
2023-09-03 02:25:34.864311,1.157041072845459,1,Release Detect Sequence: Start,0,0
2023-09-03 02:25:44.871961,11.164690256118774,1,Release Detect Sequence: Start,0,0
2023-09-03 02:25:44.873338,11.16605830192566,2,Land Detect Sequence: Start,0,0
2023-09-03 02:25:50.912820,17.205551624298096,2,Land Detect Sequence: End,0,0
2023-09-03 02:25:50.913611,17.20633816719055,3,Melt Sequence: Start,0,0
2023-09-03 02:25:56.922089,23.214823246002197,3,Melt Sequence: End,0,0
2023-09-03 02:25:58.927198,25.219928979873657,3,GPS Received,35.924218,139.912052
2023-09-03 02:25:59.931242,26.223973274230957,4,Parachute Avoid Sequence: Start,35.924211,139.912057
2023-09-03 02:27:00.568995,86.86172938346863,4,Parachute Avoid Sequence: End,35.924205,139.912195
2023-09-03 02:27:01.573197,87.86592936515808,5,GPS Running Sequence to Human: Start,35.924205,139.912196
2023-09-03 02:27:30.573404,116.866135597229,5,GPS Running Sequence to Human: End,35.924311,139.912418
2023-09-03 02:27:31.577766,117.8704993724823,6,Human Detection Sequence: Start,35.924312,139.912424
