datetime,elapsed time,phase,condition,lat,lon
2023-09-01 22:50:42.189081,1.1668026447296143,1,Release Detect Sequence: Start,0,0
2023-09-01 22:50:52.205506,11.18322467803955,1,Release Detect Sequence: Start,0,0
2023-09-01 22:50:52.206995,11.184714317321777,2,Land Detect Sequence: Start,0,0
2023-09-01 22:50:57.237778,16.215495347976685,2,Land Detect Sequence: End,0,0
2023-09-01 22:50:57.238473,16.21618962287903,3,Melt Sequence: Start,0,0
2023-09-01 22:51:03.247633,22.225359201431274,3,Melt Sequence: End,0,0
2023-09-01 22:52:50.763715,129.74143767356873,4,Parachute Avoid Sequence: End,35.924086,139.912547
2023-09-01 22:52:51.768152,130.74587488174438,5,GPS Running Sequence to Human: Start,35.924085,139.912547
2023-09-01 22:53:19.956546,158.93426942825317,5,GPS Running Sequence to Human: End,35.92429,139.912446
2023-09-01 22:53:20.960465,159.93818855285645,6,Human Detection Sequence: Start,35.924289,139.912446
2023-09-01 22:53:36.389856,175.3675742149353,6,Human Detection Sequence: End,35.924293,139.912447
2023-09-01 22:53:46.425110,185.4028341770172,7,GPS Running Sequence to Goal: Start,35.924292,139.912448
2023-09-01 22:54:12.387106,211.36482191085815,7,GPS Running Sequence to Goal: End,35.924114,139.912444
2023-09-01 22:54:13.390560,212.36828422546387,8,Image Guide Sequence,35.924112,139.912445
2023-09-01 22:57:11.397555,390.37527298927307,8,Image Guide Sequence: End,35.924109,139.912405
2023-09-01 22:57:21.429874,400.4075927734375,10,All Phase Comleted,35.924109,139.912405
