datetime,elapsed time,phase,condition,lat,lon
2023-09-02 21:16:11.920400,1.1687726974487305,1,Release Detect Sequence: Start,0,0
2023-09-02 21:16:21.936942,11.185312032699585,1,Release Detect Sequence: Start,0,0
2023-09-02 21:16:21.938196,11.186561822891235,2,Land Detect Sequence: Start,0,0
2023-09-02 21:16:26.969776,16.218152284622192,2,Land Detect Sequence: End,0,0
2023-09-02 21:16:26.972026,16.220403909683228,3,Melt Sequence: Start,0,0
2023-09-02 21:16:32.978267,22.22664523124695,3,Melt Sequence: End,0,0
2023-09-02 21:16:47.993982,37.24234962463379,3,GPS Received,35.923927,139.912583
2023-09-02 21:17:17.064201,66.31257724761963,4,Parachute Avoid Sequence: Start,35.923929,139.912583
2023-09-02 21:19:07.961043,177.20941543579102,4,Parachute Avoid Sequence: End,35.923814,139.912576
2023-09-02 21:19:36.035598,205.28397417068481,5,GPS Running Sequence to Human: Start,35.923814,139.912576
2023-09-02 21:22:07.735394,356.98376965522766,5,GPS Running Sequence to Human: End,35.924309,139.91243
2023-09-02 21:22:35.798416,385.04679250717163,6,Human Detection Sequence: Start,35.924309,139.912432
2023-09-02 21:23:26.094469,435.34284019470215,6,Human Detection Sequence: End,35.92429,139.912453
2023-09-02 21:23:54.169273,463.4176504611969,6,Image Sending Sequence: Start,35.92429,139.912453
2023-09-02 21:33:53.890341,1063.13871884346,6,Image Sending Sequence: End,35.92429,139.912453
2023-09-02 21:33:53.892652,1063.14102768898,7,GPS Running Sequence to Goal: Start,35.924306,139.912443
2023-09-02 21:35:24.851377,1154.0997443199158,7,GPS Running Sequence to Goal: End,35.924231,139.912084
2023-09-02 21:35:52.921608,1182.1699845790863,8,Image Guide Sequence,35.924228,139.912082
2023-09-02 21:39:31.162250,1400.4106225967407,8,Image Guide Sequence: End,35.924222,139.912034
2023-09-02 21:39:59.252099,1428.5004777908325,9,All Phase Comleted,35.924222,35.924222
