datetime,elapsed time,phase,condition,lat,lon
2023-09-02 21:44:19.633643,1.1633226871490479,1,Release Detect Sequence: Start,0,0
2023-09-02 21:44:29.640851,11.170527696609497,1,Release Detect Sequence: Start,0,0
2023-09-02 21:44:29.642766,11.172440767288208,2,Land Detect Sequence: Start,0,0
2023-09-02 21:44:34.675973,16.20565438270569,2,Land Detect Sequence: End,0,0
2023-09-02 21:44:34.677414,16.207093954086304,3,Melt Sequence: Start,0,0
2023-09-02 21:44:40.687673,22.217357873916626,3,Melt Sequence: End,0,0
2023-09-02 21:44:55.691655,37.22132754325867,3,GPS Received,35.924231,139.912067
2023-09-02 21:45:24.756687,66.28636837005615,4,Parachute Avoid Sequence: Start,35.924235,139.912071
2023-09-02 21:46:43.683290,145.21297144889832,4,Parachute Avoid Sequence: End,35.92434,139.912041
2023-09-02 21:47:11.756634,173.2863154411316,5,GPS Running Sequence to Human: Start,35.924345,139.91204
2023-09-02 21:48:44.797094,266.3267743587494,5,GPS Running Sequence to Human: End,35.924328,139.912436
2023-09-02 21:49:12.878624,294.40830397605896,6,Human Detection Sequence: Start,35.924328,139.912436
2023-09-02 21:56:37.434980,738.9646615982056,6,Human Detection Sequence: End,35.924185,139.912609
2023-09-02 21:57:05.520906,767.0505907535553,6,Image Sending Sequence: Start,35.924185,139.912609
