datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-06 17:36:53.972194,1.1873865127563477,1,Release Detect Sequence: Start,0,0
2023-09-06 17:37:03.991187,11.206366300582886,1,Release Detect Sequence: Start,0,0
2023-09-06 17:37:03.993814,11.209044933319092,2,Land Detect Sequence: Start,0,0
2023-09-06 17:37:09.026061,16.241235733032227,2,Land Detect Sequence: End,0,0
2023-09-06 17:37:09.028252,16.243478298187256,3,Melt Sequence: Start,0,0
2023-09-06 17:37:15.037827,22.253008365631104,3,Melt Sequence: End,0,0
2023-09-06 17:37:15.040784,22.25599193572998,3,GPS Received,35.924197,139.912035
2023-09-06 17:37:16.044482,23.259662866592407,4,Parachute Avoid Sequence: Start,35.924192,139.912025
2023-09-06 17:38:14.209979,81.42515802383423,4,Parachute Avoid Sequence: End,35.924397,139.912216
2023-09-06 17:38:15.214634,82.42981338500977,5,GPS Running Sequence to Human: Start,35.924396,139.912219
2023-09-06 17:39:12.066517,139.2816984653473,5,GPS Running Sequence to Human: End,35.924321,139.912508
2023-09-06 17:39:13.071391,140.28657174110413,6,Human Detection Sequence: Start,35.924328,139.912509
2023-09-06 17:39:24.037849,151.25308632850647,6,Human Detection Sequence: Area0,35.924337,139.912509
2023-09-06 17:39:30.257795,157.472971200943,6,Human Detection Sequence: End,35.924345,139.912518
2023-09-06 17:39:30.259410,157.47458338737488,7,GPS Running Sequence to Goal: Start,35.924349,139.912518
2023-09-06 17:40:48.264911,235.48009157180786,7,GPS Running Sequence to Goal: End,35.924192,139.912046
2023-09-06 17:40:49.269830,236.48501014709473,8,Image Guide Sequence,35.924192,139.912044
2023-09-06 17:42:56.227835,363.44301533699036,8,Image Guide Sequence: End,35.924271,139.912059
2023-09-06 17:42:56.245872,363.4610505104065,9,All Phase Comleted,35.924271,35.924271
