datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-05 02:00:59.834191,1.1686055660247803,1,Release Detect Sequence: Start,0,0
2023-09-05 02:01:09.851855,11.186267852783203,1,Release Detect Sequence: Start,0,0
2023-09-05 02:01:09.853652,11.188061237335205,2,Land Detect Sequence: Start,0,0
2023-09-05 02:01:34.895742,36.23015737533569,2,Land Detect Sequence: End,0,0
2023-09-05 02:01:34.896664,36.23107671737671,3,Melt Sequence: Start,0,0
2023-09-05 02:01:40.905877,42.24029755592346,3,Melt Sequence: End,0,0
2023-09-05 02:01:40.909140,42.24355697631836,3,GPS Received,35.924205,139.912041
2023-09-05 02:01:42.915108,44.249523401260376,4,Parachute Avoid Sequence: Start,35.924199,139.912043
