datetime,elapsed time,phase,condition,lat,lon
2023-09-01 19:09:11.359597,1.1543819904327393,1,Release Detect Sequence: Start,0,0
2023-09-01 19:09:21.370484,11.165271282196045,1,Release Detect Sequence: Start,0,0
2023-09-01 19:09:21.371966,11.166749954223633,2,Land Detect Sequence: Start,0,0
2023-09-01 19:09:26.402823,16.197612524032593,2,Land Detect Sequence: End,0,0
2023-09-01 19:09:26.404712,16.199500799179077,3,Melt Sequence: Start,0,0
2023-09-01 19:09:32.412472,22.207262992858887,3,Melt Sequence: End,0,0
2023-09-01 19:09:36.423230,26.218019008636475,5,GPS Running Sequence to Human: Start,35.923972,139.911383
2023-09-01 19:10:21.057659,70.85244727134705,5,GPS Running Sequence to Human: End,35.924369,139.911341
2023-09-01 19:10:22.062106,71.85689496994019,6,Human Detection Sequence: Start,35.924371,139.911343
2023-09-01 19:10:37.188249,86.9830322265625,6,Human Detection Sequence: End,35.924368,139.911337
2023-09-01 19:10:47.216515,97.01130652427673,7,GPS Running Sequence to Goal: Start,35.924367,139.911343
2023-09-01 19:11:19.299146,129.09393501281738,7,GPS Running Sequence to Goal: End,35.924105,139.911381
2023-09-01 19:11:20.302643,130.0974326133728,8,Image Guide Sequence,35.9241,139.911382
2023-09-01 19:12:43.533000,213.32778334617615,8,Image Guide Sequence: End,35.924084,139.911367
2023-09-01 19:12:53.563523,223.3583106994629,10,All Phase Comleted,35.924084,139.911369
