datetime,elapsed time,phase,condition,lat,lon
2023-09-01 22:40:43.219791,1.146756649017334,1,Release Detect Sequence: Start,0,0
2023-09-01 22:40:53.237560,11.164521932601929,1,Release Detect Sequence: Start,0,0
2023-09-01 22:40:53.239736,11.16669750213623,2,Land Detect Sequence: Start,0,0
2023-09-01 22:40:58.273870,16.20083522796631,2,Land Detect Sequence: End,0,0
2023-09-01 22:40:58.274859,16.20182490348816,3,Melt Sequence: Start,0,0
2023-09-01 22:41:04.281289,22.208258628845215,3,Melt Sequence: End,0,0
2023-09-01 22:41:41.932162,59.859132289886475,4,Parachute Avoid Sequence: End,35.924133,139.912488
2023-09-01 22:41:42.936848,60.86381554603577,5,GPS Running Sequence to Human: Start,35.924133,139.912489
2023-09-01 22:42:07.772714,85.69968247413635,5,GPS Running Sequence to Human: End,35.924293,139.91243
2023-09-01 22:42:08.777639,86.70460605621338,6,Human Detection Sequence: Start,35.924293,139.91243
2023-09-01 22:47:04.211794,382.13875699043274,6,Human Detection Sequence: End,35.924411,139.912311
2023-09-01 22:47:14.244744,392.1717128753662,7,GPS Running Sequence to Goal: Start,35.924411,139.912312
2023-09-01 22:47:48.885044,426.8120028972626,7,GPS Running Sequence to Goal: End,35.924118,139.912427
2023-09-01 22:47:49.888831,427.81579852104187,8,Image Guide Sequence,35.924117,139.912427
