datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-05 01:47:06.235603,1.1462562084197998,1,Release Detect Sequence: Start,0,0
2023-09-05 01:47:16.245076,11.155726909637451,1,Release Detect Sequence: Start,0,0
2023-09-05 01:47:16.246416,11.157063961029053,2,Land Detect Sequence: Start,0,0
2023-09-05 01:47:41.294674,36.205334424972534,2,Land Detect Sequence: End,0,0
2023-09-05 01:47:41.296740,36.20739674568176,3,Melt Sequence: Start,0,0
2023-09-05 01:47:47.306762,42.217422008514404,3,Melt Sequence: End,0,0
2023-09-05 01:47:47.310146,42.2208034992218,3,GPS Received,35.924214,139.912059
2023-09-05 01:47:48.314852,43.22550988197327,4,Parachute Avoid Sequence: Start,35.924225,139.912031
