datetime(PDT),elapsed time,phase,condition,lat,lon
2023-09-06 17:27:52.058515,1.1658995151519775,1,Release Detect Sequence: Start,0,0
2023-09-06 17:28:02.065752,11.173131942749023,1,Release Detect Sequence: Start,0,0
2023-09-06 17:28:02.067201,11.174577474594116,2,Land Detect Sequence: Start,0,0
2023-09-06 17:28:07.100799,16.208187341690063,2,Land Detect Sequence: End,0,0
2023-09-06 17:28:07.101814,16.20920181274414,3,Melt Sequence: Start,0,0
2023-09-06 17:28:13.110926,22.218316555023193,3,Melt Sequence: End,0,0
2023-09-06 17:28:13.113881,22.221266746520996,3,GPS Received,35.924193,139.912023
2023-09-06 17:28:15.119064,24.2264506816864,4,Parachute Avoid Sequence: Start,35.924202,139.912032
2023-09-06 17:30:37.837795,166.9451813697815,4,Parachute Avoid Sequence: End,35.92425,139.912478
2023-09-06 17:30:38.842137,167.9495244026184,5,GPS Running Sequence to Human: Start,35.924253,139.912485
2023-09-06 17:30:51.293948,180.40133500099182,5,GPS Running Sequence to Human: End,35.924267,139.912481
2023-09-06 17:30:52.297342,181.40473008155823,6,Human Detection Sequence: Start,35.924267,139.91248
2023-09-06 17:30:58.739800,187.84723091125488,6,Human Detection Sequence: Area0,35.924267,139.91248
2023-09-06 17:31:28.005600,217.11298656463623,6,Human Detection Sequence: Area1,35.924405,139.912451
2023-09-06 17:32:33.538142,282.64552783966064,6,Human Detection Sequence: Area2,35.924272,139.912305
2023-09-06 17:33:12.436112,321.5434980392456,6,Human Detection Sequence: Area3,35.924201,139.912454
2023-09-06 17:33:18.626472,327.7338538169861,6,Human Detection Sequence: End,35.924191,139.912486
2023-09-06 17:33:18.628913,327.73629450798035,7,GPS Running Sequence to Goal: Start,35.924202,139.912509
2023-09-06 17:34:11.144711,380.25209856033325,7,GPS Running Sequence to Goal: End,35.92419,139.91206
2023-09-06 17:34:12.148779,381.2561664581299,8,Image Guide Sequence,35.924187,139.912057
