datetime,elapsed time,phase,condition,lat,lon
2023-09-03 02:29:26.858167,1.1723730564117432,1,Release Detect Sequence: Start,0,0
2023-09-03 02:29:36.870221,11.184425354003906,1,Release Detect Sequence: Start,0,0
2023-09-03 02:29:36.871599,11.185800790786743,2,Land Detect Sequence: Start,0,0
2023-09-03 02:29:41.903133,16.2173433303833,2,Land Detect Sequence: End,0,0
2023-09-03 02:29:42.000223,16.31443476676941,3,Melt Sequence: Start,0,0
2023-09-03 02:29:48.009514,22.323726177215576,3,Melt Sequence: End,0,0
2023-09-03 02:29:50.012610,24.32681918144226,3,GPS Received,35.924211,139.912068
2023-09-03 02:29:52.018654,26.33286476135254,4,Parachute Avoid Sequence: Start,35.924214,139.912058
2023-09-03 02:30:52.120213,86.43442296981812,4,Parachute Avoid Sequence: End,35.92426,139.912156
2023-09-03 02:30:53.124600,87.43880891799927,5,GPS Running Sequence to Human: Start,35.92426,139.912154
2023-09-03 02:31:24.352858,118.66706776618958,5,GPS Running Sequence to Human: End,35.924321,139.912436
2023-09-03 02:31:25.356115,119.67032551765442,6,Human Detection Sequence: Start,35.924321,139.91244
2023-09-03 02:42:22.319757,776.633962392807,6,Human Detection Sequence: End,35.924193,139.912612
2023-09-03 02:42:22.321668,776.6358726024628,6,Mission Failed ###---Not Sending Image---###,35.924193,139.912612
2023-09-03 02:42:23.323982,777.6381874084473,7,GPS Running Sequence to Goal: Start,35.924194,139.912611
2023-09-03 02:43:15.731004,830.0452136993408,7,GPS Running Sequence to Goal: End,35.924226,139.912089
2023-09-03 02:43:16.735870,831.0500793457031,8,Image Guide Sequence,35.924225,139.912089
